HDI_rank,Country,1990,2000,2010,2015,2020,2021,2022,2023,Change_in_HDI_rank_2015_2023,Avg_annual_growth_1990_2000,Avg_annual_growth_2000_2010,Avg_annual_growth_2010_2023,Avg_annual_growth_1990_2023
89.0,Dominican Republic,0.589,,0.658,0.715,0.747,0.767,0.762,0.778,0.776,6.0,1.1139461629138037,0.8342366348652375,0.6317562723699321
89.0,Guyana,0.494,,0.567,0.647,0.683,0.722,0.713,0.763,0.776,33.0,1.3877793478492384,1.3286186388485444,1.408334318676796
89.0,Sri Lanka,0.638,,0.702,0.748,0.769,0.78,0.777,0.777,0.776,-8.0,0.9605350150393877,0.6367142009987337,0.2830887277448513
92.0,Tonga,0.641,,0.688,0.724,0.743,0.765,0.763,0.764,0.769,4.0,0.7101031703282024,0.5113283888085629,0.46492031730189787
93.0,Maldives,,,0.639,0.689,0.725,0.73,0.745,0.764,0.766,10.0,,0.756213124179661,0.8182595831233375
93.0,Viet Nam,0.499,,0.604,0.686,0.717,0.755,0.754,0.764,0.766,16.0,1.9280320591478883,1.281171874244147,0.8521064112253063
95.0,Turkmenistan,,,,0.7,0.725,0.744,0.754,0.761,0.764,8.0,,,0.6752500180038368
96.0,Algeria,0.595,,0.651,0.718,0.737,0.742,0.755,0.761,0.763,3.0,0.9035398656404903,0.9844130477723034,0.4686985271329158
97.0,Cuba,0.687,,0.697,0.783,0.769,0.762,0.745,0.764,0.762,-16.0,0.14461565311170155,1.1702675235089277,-0.2089056439694703
98.0,Dominica,,,0.721,0.747,0.741,0.753,0.749,0.759,0.761,0.0,,0.3548887225661712,0.14293415153801003
99.0,Paraguay,0.607,,0.664,0.709,0.737,0.742,0.723,0.747,0.756,0.0,0.901573494314234,0.6578884114408323,0.4949581961163352
100.0,Egypt,0.572,,0.639,0.677,0.706,0.736,0.738,0.751,0.754,15.0,1.1138118364017124,0.5793399054574211,0.8320663976428389
100.0,Jordan,0.619,,0.672,0.732,0.743,0.743,0.736,0.751,0.754,-4.0,0.8249145016980597,0.8588892029972817,0.22804311635336028
102.0,Lebanon,,,,0.75,0.763,0.75,0.733,0.755,0.752,-12.0,,,0.02048761703705715
103.0,Saint Lucia,0.683,,0.71,0.749,0.757,0.734,0.724,0.747,0.748,-11.0,0.3884536375903247,0.5361724217437969,-0.010276437651368653
104.0,Mongolia,0.593,,0.611,0.714,0.753,0.741,0.727,0.742,0.747,-11.0,0.29947312925393543,1.570057930819524,0.34816023460806367
105.0,Tunisia,0.569,,0.654,0.717,0.728,0.733,0.728,0.745,0.746,-4.0,1.4020063774488722,0.9239269875880307,0.3054637433903107
106.0,South Africa,0.633,,0.618,0.669,0.722,0.724,0.721,0.737,0.741,-1.0,-0.23953230929295577,0.7961082494115201,0.7893805794737974
107.0,Uzbekistan,,,0.603,0.681,0.707,0.723,0.727,0.737,0.74,7.0,,1.2238799527964028,0.6411843811929829
108.0,Bolivia (Plurinational State of),0.552,,0.63,0.677,0.704,0.697,0.693,0.727,0.733,8.0,1.3304910300265593,0.7221092605078638,0.6132142689494025
108.0,Gabon,0.621,,0.652,0.684,0.72,0.732,0.72,0.73,0.733,-1.0,0.48832323046754667,0.4802832372206023,0.5336324982061269
108.0,Marshall Islands,,,,,0.691,0.722,0.723,0.732,0.733,11.0,,,
111.0,Botswana,0.59,,0.594,0.652,0.69,0.718,0.7,0.729,0.731,9.0,0.06759065682553356,0.9360058158368156,0.8836420210033058
111.0,Fiji,0.629,,0.668,0.697,0.715,0.718,0.705,0.726,0.731,-1.0,0.6033822294659208,0.4258766603624009,0.36704156141746935
113.0,Indonesia,0.531,,0.6,0.67,0.701,0.71,0.707,0.726,0.728,4.0,1.2291692872367532,1.1095913750405861,0.6406847048596065
114.0,Suriname,,,,0.707,0.718,0.714,0.697,0.719,0.722,-6.0,,,0.16162642105588265
115.0,Belize,0.617,,0.671,0.727,0.721,0.713,0.713,0.717,0.721,-9.0,0.842530609031833,0.8047946062516909,-0.06372845593086707
115.0,Libya,0.69,,0.727,0.755,0.728,0.688,0.729,0.741,0.721,-14.0,0.5237154192346827,0.378627707660284,-0.3538234257326689
